2019-01-23 15:59:26,785 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=%2Fuser%2Flist', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:27,199 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:27,229 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:27,237 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:28,310 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:28,320 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=%2Fuser%2Flist', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:28,407 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:28,415 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:28,422 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:29,307 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:29,316 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=%2Fuser%2Flist', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:29,392 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:29,403 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:29,408 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:31,057 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:31,065 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=%2Fuser%2Flist', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:31,140 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:31,151 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:31,161 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:33,940 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:39,918 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='POST', uri='/auth/login', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:39,956 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:40,110 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:40,116 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:41,546 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:41,649 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:41,655 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:42,211 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:42,312 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:42,316 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:42,803 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:42,896 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
